Sesso,DataNascita,DataDecesso,EtaDecesso
M,1943-11-03,2011-01-23,67
M,1938-02-14,2008-08-12,70
F,1921-09-21,2005-10-12,84
F,1924-06-13,2016-12-07,92
M,1925-12-18,2002-01-22,76
F,1928-10-14,2009-01-23,80
M,1910-04-04,2003-11-18,93
F,1930-09-29,2012-02-19,81
F,1916-02-12,2005-02-19,89
M,1932-11-12,2011-09-03,78
M,1947-03-22,2020-07-18,73
M,1942-05-19,2016-09-09,74
F,1939-11-20,2009-08-20,69
M,1924-11-06,2005-07-28,80
M,1934-11-16,2017-02-18,82
M,1930-04-17,2015-04-22,85
M,1935-02-10,2009-03-30,74
M,1931-02-16,2002-06-04,71
F,1930-04-12,2005-01-20,74
M,1937-08-16,2006-01-01,68
F,1928-10-15,2013-06-11,84
M,1956-01-12,2016-06-24,60
F,1907-12-24,2006-01-30,98
F,1911-04-17,2008-12-10,97
F,1921-03-21,2004-01-16,82
M,1938-03-23,2015-06-18,77
F,1922-10-18,2019-02-14,96
M,1934-01-09,2005-11-28,71
F,1927-10-14,2020-01-23,92
M,1941-01-21,2008-02-21,67
F,1946-05-10,2005-10-23,59
M,1952-07-13,2011-05-25,58
M,1929-04-26,2000-03-07,70
M,1929-05-08,2018-10-30,89
F,1940-03-31,2016-11-02,76
M,1937-11-16,2015-10-08,77
M,1957-12-17,2006-05-09,48
F,1929-03-29,2008-04-04,79
M,1928-12-30,2019-02-27,90
F,1922-01-06,2008-12-16,86
M,1931-02-24,2004-09-17,73
F,1924-05-05,2009-12-12,85
F,1922-11-01,2013-04-12,90
F,1913-07-25,2001-03-09,87
F,1936-01-28,2020-11-10,84
M,1921-09-01,2003-11-13,82
M,1948-03-11,2019-03-15,71
M,1950-01-10,2005-05-31,55
M,1921-05-22,2017-03-17,95
M,1914-08-21,2002-06-29,87
F,1902-07-24,2004-03-18,101
F,1936-08-02,2017-12-26,81
F,1962-01-02,2017-07-29,55
F,1928-05-07,2016-04-11,87
F,1928-12-29,2018-11-15,89
F,1922-08-15,2011-01-14,88
M,1932-11-24,2018-11-17,85
M,1964-03-05,2006-07-26,42
M,1943-05-10,2015-01-12,71
M,1922-11-06,2013-01-06,90
M,1935-03-19,2002-10-14,67
F,1946-01-01,2016-04-26,70
M,1945-12-17,2006-01-20,60
M,1953-07-19,2016-10-20,63
M,1924-08-08,2015-10-24,91
F,1917-01-15,2001-01-11,83
F,1922-12-29,2011-02-10,88
M,1970-05-24,2010-08-11,40
F,1956-03-13,2009-10-31,53
F,1943-07-28,2000-04-20,56
F,1918-11-26,2007-03-15,88
M,1924-09-18,2015-07-28,90
M,1928-06-17,2007-05-28,78
M,1936-09-27,2005-03-17,68
F,1941-06-17,2017-10-24,76
M,1929-10-01,2013-07-04,83
M,1927-11-19,2008-03-09,80
M,1933-08-01,2014-01-29,80
M,1933-09-11,2018-02-11,84
F,1936-11-21,2019-09-10,82
M,1938-11-01,2003-05-19,64
F,1937-01-22,2016-02-22,79
M,1924-06-10,2012-09-14,88
F,1922-09-04,2003-10-24,81
M,1929-02-07,2017-05-02,88
M,1925-07-10,2006-08-06,81
M,1938-11-23,2009-11-14,70
F,1915-03-02,2011-02-13,95
M,1938-06-27,2017-11-09,79
F,1926-01-29,2020-11-06,94
M,1950-01-13,2007-03-27,57
F,1939-12-04,2004-04-23,64
F,1931-02-21,2010-01-20,78
M,1927-09-04,2017-01-29,89
M,1930-08-19,2008-07-29,77
F,1919-12-12,2006-06-06,86
M,1925-01-28,2012-12-24,87
M,1930-01-23,2015-01-26,85
F,1926-08-07,2007-06-19,80
F,1935-02-13,2018-09-13,83
F,1920-12-14,2011-12-13,90
